Indicator,Country,Date,value
"Proportion of confirmed Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,9.0
"Proportion of probable Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,6.0
"Proportion of suspected Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,25.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days","Sierra Leone",2014-08-29,9.0
"Proportion of confirmed Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,67.0
"Proportion of probable Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,0.0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,57.0
"Case fatality rate (CFR) of confirmed Ebola cases",Guinea,2014-08-29,60.0
"Case fatality rate (CFR) of probable Ebola cases",Guinea,2014-08-29,100.0
"Case fatality rate (CFR) of suspected Ebola cases",Guinea,2014-08-29,8.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-08-29,66.0
"Case fatality rate (CFR) of confirmed Ebola cases",Liberia,2014-08-29,70.0
"Case fatality rate (CFR) of probable Ebola cases",Liberia,2014-08-29,45.0
"Case fatality rate (CFR) of suspected Ebola cases",Liberia,2014-08-29,44.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-08-29,50.0
"Case fatality rate (CFR) of confirmed Ebola cases","Sierra Leone",2014-08-29,41.0
"Case fatality rate (CFR) of probable Ebola cases","Sierra Leone",2014-08-29,92.0
"Case fatality rate (CFR) of suspected Ebola cases","Sierra Leone",2014-08-29,15.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-08-29,41.0
"Case fatality rate (CFR) of confirmed Ebola cases",Nigeria,2014-08-29,40.0
"Case fatality rate (CFR) of probable Ebola cases",Nigeria,2014-08-29,100.0
"Case fatality rate (CFR) of suspected Ebola cases",Nigeria,2014-08-29,0.0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-08-29,37.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-03-11,144.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-11,8428.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-11,287.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-11,1778.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-11,4162.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-11,11619.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-03-11,144.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-11,22.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-11,2170.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-11,158.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-11,392.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-11,1879.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-11,208.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2015-03-11,4.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-03-11,202.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-11,4314.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-11,2871.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-11,3263.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-11,9343.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-03-11,4.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-03-11,202.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-11,3285.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-11,2904.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-11,3150.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-11,3629.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-11,392.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-11,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-11,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-11,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-11,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-11,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-11,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-11,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-11,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-11,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-11,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-11,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-11,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-11,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-11,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-11,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-11,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-11,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-11,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-11,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-11,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-11,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-11,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-11,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-11,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-11,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-11,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-11,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-11,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-11,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-11,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-11,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-12,3330.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-12,2901.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-12,395.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-12,34.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-12,2187.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-12,1792.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-12,395.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-12,9343.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-12,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-12,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-12,4314.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-12,4162.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-12,11677.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-12,8463.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-12,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-12,2927.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-12,3655.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-12,3289.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-12,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-12,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-12,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-12,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-12,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-12,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-12,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-12,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-12,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-12,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-12,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-12,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-12,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-12,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-12,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-12,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-12,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-12,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-12,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-12,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-12,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-12,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-12,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-12,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-12,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-12,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-12,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-12,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-12,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-12,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-12,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-12,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-12,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-13,3331.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-13,2911.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-13,395.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-13,25.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-13,2192.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-13,1797.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-13,395.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-13,9482.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-13,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-13,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-13,4453.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-13,4241.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-13,11696.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-13,8469.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-13,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-13,2940.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-13,3663.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-13,3297.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-13,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-13,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-13,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-13,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-13,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-13,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-13,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-13,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-13,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-13,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-13,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-13,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-13,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-13,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-13,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-13,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-13,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-13,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-13,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-13,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-13,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-13,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-13,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-13,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-13,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-13,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-13,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-13,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-13,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-13,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-13,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-13,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-13,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-16,3373.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-16,2957.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-16,395.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-16,21.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-16,2216.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-16,1821.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-16,395.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-16,9482.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-16,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-16,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-16,4453.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-16,4241.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-16,11742.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-16,8484.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-16,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-16,2971.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-16,3687.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-16,3321.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-16,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-16,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-16,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-16,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-16,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-16,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-16,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-16,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-16,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-16,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-16,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-16,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-16,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-16,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-16,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-16,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-16,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-16,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-16,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-16,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-16,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-16,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-16,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-16,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-16,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-16,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-16,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-16,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-16,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-16,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-16,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-16,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-16,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-17,3389.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-17,2966.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-17,395.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-17,28.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-17,2224.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-17,1829.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-17,395.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-17,9526.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-17,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-17,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-17,4497.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-17,4264.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-17,11751.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-17,8487.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-17,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-17,2977.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-17,3691.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-17,3325.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-17,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-17,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-17,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-17,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-17,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-17,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-17,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-17,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-17,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-17,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-17,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-17,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-17,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-17,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-17,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-17,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-17,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-17,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-17,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-17,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-17,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-17,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-17,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-17,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-17,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-17,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-17,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-17,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-17,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-17,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-17,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-17,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-17,1.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-18,2966.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-18,395.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-18,28.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-18,3389.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-03-18,204.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-03-18,204.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-18,1829.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-18,395.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-18,2224.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-18,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-18,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-18,4497.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-18,9526.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2015-03-18,0.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-18,4264.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-18,8487.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-18,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-18,2977.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-18,11751.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-03-18,194.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-03-18,194.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-18,3325.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-18,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-18,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-18,3691.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-18,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-18,0.0
